ID,Name,Final_Prompt
maj_14,Temperance,"White vastness. Center: one small vessel tilted, a single drop of water falling from it toward nothing. Exquisite detail on the drop. The other vessel exists in white space. Balance in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_15,The Devil,"Pure white. Bottom center: a single small chain link, open. That is everything. The bondage is imagined. Freedom is choosing to see the whiteness. 91% empty. The devil is projection., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_16,The Tower,"Whiteness. Upper corner: one small brick, falling, detailed and tumbling. That is all. The tower exists in white space. Destruction is implied by one piece. Radical minimalism. Lightning not shown., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_17,The Star,"Vast white. Upper third: seven tiny stars and one slightly larger, rendered as small asterisks or points. Lower corner: tiny water drop. Hope is the emptiness between. 92% white. Minimalist hope., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_18,The Moon,"White space. Upper center: one small crescent moon. Nothing else visible. The dogs, the path, the towers exist in whiteness. Mystery is absence. 94% empty. Profound suggestion., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_19,The Sun,"Pure white (the brightness itself). In one corner, tiny, a simple circle with small rays. One miniature sunflower. The sun is the white. Joy is the emptiness. Minimal but radiant., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_20,Judgement,"Whiteness. Center: one small trumpet bell pointing up, just the horn end. Tiny and detailed. The angel, the dead, the resurrection exist in white space. 93% empty. Awakening suggested., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
maj_21,The World,"Vast white. Exact center: a small wreath ring, empty inside showing more white. Four tiny marks at corners. The dancing figure completes themselves. The world is white space. 90% empty. Completion in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_01,Ace of Wands,"Tarot card 'Ace of Wands', Pure white expanse. Bottom corner: one small matchstick, unlit, standing vertical, detailed and perfect. That is all. Potential energy in stillness. 92% white space. The fire waits in whiteness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_02,Two of Wands,"Tarot card 'Two of Wands', Whiteness. Two small sticks crossed in lower corner, tiny globe between them. Exquisite detail but minute. 90% empty. Choice exists in the white space between., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_03,Three of Wands,"Tarot card 'Three of Wands', White vastness. Three tiny matchsticks planted, forming small triangle. Distant dot suggesting ship. 93% white. Vision happens in emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_04,Four of Wands,"Tarot card 'Four of Wands', Vast white. Four small sticks forming tiny archway. That is all. Celebration is the whiteness under the arch. Minimalist joy., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_05,Five of Wands,"Tarot card 'Five of Wands', Pure white. Five small sticks scattered and crossing in one corner. Tiny chaos in vast peace. 91% empty. Conflict suggested by arrangement., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_06,Six of Wands,"Tarot card 'Six of Wands', Whiteness. One small stick upright with tiny laurel mark. Five others below. Victory in simplicity. 92% white space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_07,Seven of Wands,"Tarot card 'Seven of Wands', White expanse. One small stick elevated, six below pointing up. Tiny but detailed. Defense in absence. 90% empty., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_08,Eight of Wands,"Tarot card 'Eight of Wands', Pure white. Eight tiny lines flying diagonally across one corner. Swift movement through emptiness. 93% white. Speed in space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_09,Nine of Wands,"Tarot card 'Nine of Wands', Whiteness. Nine small sticks, eight standing, one leaning. Tiny figure of fatigue. 91% empty. Resilience in minimal form., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_10,Ten of Wands,"Tarot card 'Ten of Wands', Vast white. Small bent line carrying ten tiny sticks. The burden is the emptiness. 92% white. Weight implied., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_11,Page of Wands,"Tarot card 'Page of Wands', Pure white. One small stick held upward by tiny hand. Youth in simplicity. 94% empty space. Beginning in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_12,Knight of Wands,"Tarot card 'Knight of Wands', Whiteness. Tiny figure on tiny horse, stick raised. Dynamic movement in vast still. 90% white. Action through emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_13,Queen of Wands,"Tarot card 'Queen of Wands', White expanse. Small throne with stick. Tiny cat outline. 92% empty. Authority in minimal presence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
wan_14,King of Wands,"Tarot card 'King of Wands', Pure white. Tiny throne, small stick, minute lizard. 93% white. Leadership in absence. Minimalist command., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_01,Ace of Cups,"Tarot card 'Ace of Cups', Vast white. Lower corner: one small chalice, just the rim visible, one tiny water drop. 91% white. Emotion as potential in emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_02,Two of Cups,"Tarot card 'Two of Cups', Pure white. Two tiny cup rims facing each other. Small intertwining mark between. 93% empty. Connection in space between., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_03,Three of Cups,"Tarot card 'Three of Cups', Whiteness. Three small cups raised, just the tops visible. 92% white. Celebration exists in emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_04,Four of Cups,"Tarot card 'Four of Cups', White expanse. Three small cups on ground, fourth offered from edge. Tiny figure turned away. 90% empty. Refusal in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_05,Five of Cups,"Tarot card 'Five of Cups', Pure white. Three small spilled cups, two upright behind. 92% white. Grief is the emptiness around loss., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_06,Six of Cups,"Tarot card 'Six of Cups', Whiteness. Six tiny cups with small flower. Nostalgia in minimal detail. 93% empty. Memory in white space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_07,Seven of Cups,"Tarot card 'Seven of Cups', Vast white. Seven tiny cups scattered, each with minute symbol. 91% empty. Illusion is what you project on whiteness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_08,Eight of Cups,"Tarot card 'Eight of Cups', Pure white. Eight small cups stacked, tiny figure walking away toward edge. 92% white. Departure into emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_09,Nine of Cups,"Tarot card 'Nine of Cups', Whiteness. Nine tiny cups in arc. Small satisfied form. 93% empty. Contentment in minimalism., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_10,Ten of Cups,"Tarot card 'Ten of Cups', White expanse. Ten tiny cups forming arc, minute figures below. 91% white. Family in simplicity., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_11,Page of Cups,"Tarot card 'Page of Cups', Pure white. Small figure holding tiny cup with little fish. 94% empty. Messages from absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_12,Knight of Cups,"Tarot card 'Knight of Cups', Whiteness. Tiny mounted figure offering small cup. 92% white. Romance through emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_13,Queen of Cups,"Tarot card 'Queen of Cups', Vast white. Small throne, tiny cup, minimal form. 93% empty. Empathy in negative space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
cup_14,King of Cups,"Tarot card 'King of Cups', Pure white. Tiny throne on tiny wave, small cup. 92% white. Emotional mastery in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_01,Ace of Swords,"Tarot card 'Ace of Swords', Vast white. Center: one small sword tip pointing up, just the point and inch of blade. 94% empty. Truth cuts through whiteness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_02,Two of Swords,"Tarot card 'Two of Swords', Pure white. Two tiny crossed swords, small blindfolded mark. 92% white. Stalemate in emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_03,Three of Swords,"Tarot card 'Three of Swords', Whiteness. Three small swords pointing to center, tiny heart outline. 91% empty. Pain in negative space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_04,Four of Swords,"Tarot card 'Four of Swords', White expanse. Tiny resting figure, three small swords above, one below. 93% white. Peace in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_05,Five of Swords,"Tarot card 'Five of Swords', Pure white. Five tiny swords, three clustered, two apart. Small retreating forms. 92% empty. Hollow victory., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_06,Six of Swords,"Tarot card 'Six of Swords', Whiteness. Tiny boat with six small swords upright. 93% white. Transition through emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_07,Seven of Swords,"Tarot card 'Seven of Swords', Vast white. Small figure carrying five tiny swords, two left behind. 91% empty. Strategy in minimalism., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_08,Eight of Swords,"Tarot card 'Eight of Swords', Pure white. Tiny bound figure, eight small swords around. 92% white. Imprisonment in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_09,Nine of Swords,"Tarot card 'Nine of Swords', Whiteness. Small sitting figure, nine tiny swords above. 93% empty. Anxiety in white space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_10,Ten of Swords,"Tarot card 'Ten of Swords', White expanse. Tiny prone figure, ten small swords. 91% white. Rock bottom is whiteness beyond., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_11,Page of Swords,"Tarot card 'Page of Swords', Pure white. Small figure with tiny sword raised. 94% empty. Curiosity in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_12,Knight of Swords,"Tarot card 'Knight of Swords', Whiteness. Tiny charging figure, small sword forward. 92% white. Action through emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_13,Queen of Swords,"Tarot card 'Queen of Swords', Vast white. Small throne, tiny sword, minimal butterfly. 93% empty. Clarity in negative space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
swo_14,King of Swords,"Tarot card 'King of Swords', Pure white. Tiny throne, small upright sword, minute butterflies. 92% white. Authority through absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
pen_01,Ace of Pentacles,"Tarot card 'Ace of Pentacles', Vast white. Lower corner: one small coin, detailed but tiny. 93% empty. Material potential in whiteness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
pen_02,Two of Pentacles,"Tarot card 'Two of Pentacles', Pure white. Tiny figure juggling two small coins connected by line. 92% white. Balance in minimal movement., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
pen_03,Three of Pentacles,"Tarot card 'Three of Pentacles', Whiteness. Three small figures, three tiny coins, minimal archway. 91% empty. Collaboration in space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
pen_04,Four of Pentacles,"Tarot card 'Four of Pentacles', White expanse. Small figure clutching four tiny coins. 92% white. Possession in absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
pen_05,Five of Pentacles,"Tarot card 'Five of Pentacles', Pure white. Two tiny figures, small window with five coins. 93% empty. Hardship in emptiness., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
pen_06,Six of Pentacles,"Tarot card 'Six of Pentacles', Whiteness. Small figure with tiny scales, six minute coins. 92% white. Generosity through absence., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
pen_07,Seven of Pentacles,"Tarot card 'Seven of Pentacles', Vast white. Tiny figure leaning on small tool, seven coins on minimal vine. 91% empty. Patience in space., Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, minimalist zen with profound emptiness, ornate details, cinematic lighting, centered composition, Imperceptibly thin gray line at the very edge, Extreme minimalism, single small element in vast white space, Japanese aesthetic, ink wash subtlety, flux style, crisp details, sharp focus, tarot card composition"
